hex,name
B3D7D1,Aqua
05131D,Black
0055BF,Blue
6874CA,Blue-Violet
4B9F4A,Bright Green
9FC3E9,Bright Light Blue
F8BB3D,Bright Light Orange
FFF03A,Bright Light Yellow
E4ADC8,Bright Pink / Tr. Pink
583927,Brown
645A4C,Chrome Antique Brass
1B2A34,Chrome Black
6C96BF,Chrome Blue
BBA53D,Chrome Gold
3CB371,Chrome Green
AA4D8E,Chrome Pink
E0E0E0,Chrome Silver
AE7A59,Copper
078BC9,Dark Azure
0A3463,Dark Blue
2032B0,Dark Blue-Violet
6C6E68,Dark Bluish Grey
352100,Dark Brown
7C503A,Dark Flesh
184632,Dark Green
6D6E5C,Dark Grey
A95500,Dark Orange
C870A0,Dark Pink
3F3691,Dark Purple
720E0F,Dark Red
958A73,Dark Tan
008F9B,Dark Turquoise
FA9C1C,Earth Orange
B67B50,Fabuland Brown
B48455,Flat Dark Gold
898788,Flat Silver
D09168,Flesh
68BCC5,Glitter Tr. Light Blue
C0F500,Glitter Tr. Neon Green
D4D5C9,Glow-in-the-Dark Opaque
D9D9D9,Glow-in-the-Dark White
237841,Green
E1D5ED,Lavender
ADC3C0,Light Aqua
B4D2E3,Light Blue
A0A5A9,Light Bluish Grey
F6D7B3,Light Flesh
C2DAB8,Light Green
9BA19D,Light Grey
D9E4A7,Light Lime / Tr. Bright Green
F9BA61,Light Orange
FECCCF,Light Pink
CD6298,Light Purple
FEBABD,Light Salmon
55A5AF,Light Turquoise
C9CAE2,Light Violet
FBE696,Light Yellow
BBE90B,Lime
3592C3,Maersk Blue
923978,Magenta
36AEBF,Medium Azure
5A93DB,Medium Blue
CC702A,Medium Dark Flesh
F785B1,Medium Dark Pink
73DCA1,Medium Green
AC78BA,Medium Lavender
C7D23C,Medium Lime
FFA70B,Medium Orange
9391E4,Medium Violet
7988A1,Metal Blue
DBAC34,Metallic Gold
899B5F,Metallic Green
A5A9B4,Metallic Silver
9B9A5A,Olive Green
FE8A18,Orange
575857,Pearl Dark Grey
AA7F2E,Pearl Gold
DCBC81,Pearl Light Gold
DCBC81,Pearl Light Gold
9CA3A8,Pearl Light Grey
ABADAC,Pearl Very Light Grey
F2F3F2,Pearl White
FC97AC,Pink
81007B,Purple
C91A09,Red / Tr. Red
582A12,Reddish Brown
8E5597,Reddish Lilac
4C61DB,Royal Blue
B31004,Rust
F2705E,Salmon
6074A1,Sand Blue
A0BCAC,Sand Green
845E84,Sand Purple
D67572,Sand Red
7DBFDD,Sky Blue
000000,Speckle Black Copper/Silver/Gold
635F61,Speckle Dark Bluish Grey-Silver
E4CD9E,Tan
635F52,Tr. Black / Tr. Black IR Lens
FCFCFC,Tr. Clear
0020A0,Tr. Dark Blue
DF6695,Tr. Dark Pink / Glitter Tr. Dark Pink
FBE890,Tr. Fire Yellow
FCB76D,Tr. Flame Yellowish Orange
BDC6AD,Tr. Glow-in-the-Dark
84B68D,Tr. Green
AEEFEC,Tr. Light Blue
96709F,Tr. Light Purple
B4D4F7,Tr. Light Royal Blue
CFE2F7,Tr. Medium Blue
F8F184,Tr. Neon Green
FF800D,Tr. Neon Orange
DAB000,Tr. Neon Yellow
F08F1C,Tr. Orange
A5A5CB,Tr. Purple / Glitter Tr. Purple
C1DFF0,Tr. Very Light Blue
F5CD2F,Tr. Yellow
E6E3E0,Very Light Bluish Grey
E6E3DA,Very Light Grey
F3CF9B,Very Light Orange
4354A3,Violet
FFFFFF,White / Milky White / Glitter Tr. Clear
F2CD37,Yellow
DFEEA5,Yellowish Green